pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
DB,Dom,9386,56.1,34.8,3.3,96.2,2322.7,1601.7,251.1
DB,Int,38,57.9,23.7,4.4,71.9,2155.4,1572.5,250.5
DL,Dom,8344,57.4,34.0,3.5,93.2,2240.7,1578.2,234.7
DL,Int,117,47.0,52.1,5.4,331.0,5131.5,3852.3,735.0
LB,Dom,6227,59.9,32.3,3.5,91.0,1630.2,1399.6,225.9
LB,Int,39,53.8,20.5,5.5,68.6,2057.9,1200.7,176.9
OL,Dom,9297,56.5,34.8,3.5,96.2,2178.6,1601.7,250.4
OL,Int,148,49.3,41.9,4.3,136.3,3106.2,3720.1,521.3
QB,Dom,2870,59.6,34.1,3.5,94.6,2001.5,1498.8,234.7
QB,Int,13,61.5,38.5,6.5,99.2,42.5,866.0,117.3
RB,Dom,4417,59.2,34.2,3.4,91.0,2052.8,1492.9,222.3
RB,Int,25,56.0,32.0,3.2,104.1,2057.9,1840.8,272.1
ST,Dom,2338,55.1,37.3,3.5,102.2,2612.8,1840.8,274.1
ST,Int,127,33.1,47.2,2.9,355.1,5877.6,7056.2,1103.9
TE,Dom,2983,53.7,36.9,3.5,102.2,2805.3,1840.8,280.3
TE,Int,36,47.2,47.2,5.2,234.2,5336.8,5296.4,803.7
WR,Dom,7637,58.5,33.8,3.3,93.8,2052.8,1498.8,234.2
WR,Int,42,71.4,28.6,4.8,99.2,0.0,923.2,211.9
