position,n_total,n_intl,intl_pct,top_countries,top_region,reg_HHI
OL,9459,149,1.6,"CAN 52, DEU 20, GBR 11",NA (35%),0.253
DB,9424,38,0.4,"CAN 14, GBR 5, ASM 5",NA (37%),0.258
DL,8496,118,1.4,"CAN 30, DEU 16, ASM 16",WEU (29%),0.194
WR,7695,42,0.5,"CAN 17, DEU 4, JPN 3",NA (40%),0.282
LB,6266,39,0.6,"CAN 15, ASM 7, GBR 3",NA (38%),0.248
RB,4460,25,0.6,"CAN 11, MEX 2, ASM 2",NA (44%),0.306
TE,3025,36,1.2,"CAN 12, DEU 7, GBR 3",WEU (42%),0.315
QB,2886,13,0.5,"CAN 9, DEU 2, FRA 1",NA (69%),0.574
ST,2470,127,5.1,"AUS 79, IRL 10, GBR 10",EAP (64%),0.47
