region,shock,beta,se,p,stars,N
EAP,any_conflict,-0.0389,0.0344,0.2569,,1966
EAP,polstab_drop,0.2358,0.1142,0.039,**,1966
EEU,any_conflict,0.0246,0.0149,0.0996,*,1935
EEU,polstab_drop,0.0359,0.0359,0.3172,,1935
LAC,any_conflict,-0.0322,0.0065,0.0,***,2178
LAC,polstab_drop,-0.0877,0.06,0.1436,,2178
MENA,any_conflict,-0.023,0.0322,0.4748,,650
MENA,polstab_drop,-0.0501,0.0271,0.0646,*,650
NA,any_conflict,-0.0,0.0,0.0,***,3924
NA,polstab_drop,-0.0,0.0,0.0,***,3924
SSA,any_conflict,-0.0325,0.0338,0.3356,,1268
SSA,polstab_drop,-0.0115,0.0352,0.7445,,1268
WEU,any_conflict,0.0,0.0,0.2914,,7854
WEU,polstab_drop,0.0,0.0,0.2914,,7854
