spec,shock,beta,se,p,stars,N
year+sport FE,gdp_shock,-0.0021,0.0257,0.9355,,19921
year+sport FE,currency_crisis,-0.0042,0.024,0.8619,,19921
year+sport FE,any_conflict,-0.033,0.0136,0.0152,**,19921
year+sport FE,polstab_drop,-0.0337,0.015,0.0245,**,19921
year+sport FE,severe_disaster,-0.006,0.0112,0.5905,,19921
year+sport FE,any_shock,-0.0092,0.0118,0.4336,,19921
athlete+year FE,gdp_shock,0.2314,0.0362,0.0,***,13680
athlete+year FE,currency_crisis,-0.0776,0.048,0.1055,,13680
athlete+year FE,any_conflict,0.0331,0.0696,0.634,,13680
athlete+year FE,polstab_drop,-0.0515,0.0521,0.3223,,13680
athlete+year FE,severe_disaster,0.0193,0.0374,0.6056,,13680
athlete+year FE,any_shock,0.1118,0.0247,0.0,***,13680
