sport,shock,beta,se,p,stars,N
Track,any_conflict,-0.056,0.0157,0.0004,***,3187
Track,polstab_drop,-0.0537,0.0177,0.0024,***,3187
Track,any_shock,-0.0415,0.0264,0.1156,,3187
basketball,any_conflict,-0.0053,0.02,0.7911,,2399
basketball,polstab_drop,-0.0053,0.0222,0.81,,2399
basketball,any_shock,0.0055,0.0235,0.8142,,2399
golf,any_conflict,-0.1008,0.0805,0.2107,,929
golf,polstab_drop,0.0792,0.0464,0.0878,*,929
golf,any_shock,-0.0634,0.0477,0.1836,,929
icehockey,any_conflict,-0.098,0.0468,0.0364,**,1315
icehockey,polstab_drop,0.2244,0.0169,0.0,***,1315
icehockey,any_shock,-0.0325,0.0412,0.4303,,1315
soccer,any_conflict,-0.1156,0.0259,0.0,***,6125
soccer,polstab_drop,-0.0925,0.0339,0.0063,***,6125
soccer,any_shock,-0.0189,0.0206,0.3599,,6125
swimming,any_conflict,0.0096,0.0366,0.7922,,3205
swimming,polstab_drop,-0.0145,0.0422,0.7308,,3205
swimming,any_shock,-0.0148,0.0234,0.5257,,3205
tennis,any_conflict,0.026,0.034,0.4437,,1829
tennis,polstab_drop,-0.0121,0.0412,0.7692,,1829
tennis,any_shock,0.0636,0.0289,0.0278,**,1829
volleyball,any_conflict,-0.063,0.032,0.0491,**,932
volleyball,polstab_drop,-0.0726,0.0322,0.0241,**,932
volleyball,any_shock,-0.0285,0.0444,0.5203,,932
