drop,beta,se,delta_from_full,N
TGO,-0.0,0.0,0.6068,461
CAN,-0.5666,0.0747,0.0402,415
ITA,-0.5711,0.0696,0.0357,460
SWE,-0.6398,0.0819,-0.033,429
JAM,-0.6336,0.0865,-0.0268,410
IRL,-0.5831,0.0756,0.0237,456
AUS,-0.6256,0.0816,-0.0188,433
EST,-0.6251,0.079,-0.0184,453
GBR,-0.5938,0.0851,0.0129,425
LCA,-0.5943,0.0778,0.0125,461
ESP,-0.6178,0.0813,-0.011,448
ARG,-0.6162,0.0797,-0.0094,454
MEX,-0.5974,0.0779,0.0094,460
ROU,-0.5976,0.0779,0.0091,462
NGA,-0.5986,0.081,0.0082,445
DEU,-0.614,0.0799,-0.0072,456
NOR,-0.6133,0.0791,-0.0065,461
ISR,-0.6117,0.0795,-0.0049,448
KEN,-0.6107,0.0793,-0.004,459
CZE,-0.6098,0.0794,-0.003,444
LVA,-0.6094,0.0792,-0.0026,460
ZAF,-0.6042,0.0798,0.0025,457
UGA,-0.6048,0.0786,0.0019,462
PER,-0.6086,0.0786,-0.0018,463
BHS,-0.6084,0.0788,-0.0016,460
MAR,-0.6082,0.0786,-0.0014,463
PRT,-0.6077,0.0785,-0.001,458
FRA,-0.6077,0.0785,-0.001,458
BRB,-0.6077,0.0785,-0.001,458
TTO,-0.6076,0.0784,-0.0008,459
NLD,-0.6074,0.0783,-0.0007,460
GRD,-0.606,0.0791,0.0007,462
CYP,-0.6073,0.0786,-0.0006,463
HUN,-0.6073,0.0783,-0.0005,461
DNK,-0.6073,0.0783,-0.0005,461
BEL,-0.6073,0.0783,-0.0005,461
ZWE,-0.6073,0.0783,-0.0005,461
ISL,-0.6072,0.0786,-0.0004,463
NZL,-0.6065,0.079,0.0003,455
JPN,-0.607,0.0782,-0.0003,463
CMR,-0.607,0.0782,-0.0003,463
HRV,-0.607,0.0782,-0.0003,463
UKR,-0.607,0.0782,-0.0003,463
IND,-0.6069,0.0781,-0.0001,464
TUR,-0.6069,0.0781,-0.0001,464
BRA,-0.6069,0.0781,-0.0001,464
SGP,-0.6069,0.0781,-0.0001,464
RUS,-0.6069,0.0781,-0.0001,464
TUN,-0.6068,0.078,0.0,465
GRC,-0.6068,0.078,0.0,465
NAM,-0.6068,0.078,0.0,465
CUW,-0.6068,0.078,0.0,465
VGB,-0.6068,0.078,0.0,465
GUY,-0.6068,0.078,0.0,465
TWN,-0.6068,0.078,0.0,465
VCT,-0.6068,0.078,0.0,465
POL,-0.6068,0.078,0.0,465
CYM,-0.6068,0.078,0.0,465
GHA,-0.6068,0.078,0.0,465
SAU,-0.6068,0.0779,-0.0,463
